#################################################
# List of available commands
# Add commands from your own extensions here as
#################################################

Next Error|View.NextError
Previous Error|View.PreviousError
Next Task|View.NextTask
Previous Task|View.PreviousTask
Show Task Help|Help.ShowTaskHelp
Align Bottoms|Format.AlignBottoms
Align Middles|Format.AlignMiddles
Align Lefts|Format.AlignLefts
Align Rights|Format.AlignRights
Align to Grid|Format.AligntoGrid
Align Tops|Format.AlignTops
Align Centers|Format.AlignCenters
Bring to Front|Format.BringtoFront
Center Horizontally|Format.CenterHorizontally
Center Vertically|Format.CenterVertically
View Code|OtherContextMenus.MenuDesigner.ViewCode
Copy|Edit.Copy
Cut|Edit.Cut
Delete|Edit.Delete
Remove Horizontal Spacing|Format.RemoveHorizontalSpacing
Decrease Horizontal Spacing|Format.DecreaseHorizontalSpacing
Increase Horizontal Spacing|Format.IncreaseHorizontalSpacing
Make Horizontal Spacing Equal|Format.MakeHorizontalSpacingEqual
Paste|Edit.Paste
Print|File.Print
Redo|Edit.Redo
Select All|Edit.SelectAll
Send to Back|Format.SendtoBack
Make Same Size|Format.MakeSameSize
Make Same Height|Format.MakeSameHeight
Make Same Width|Format.MakeSameWidth
Size to Grid|Format.SizetoGrid
Tab Order|View.TabOrder
Toolbox|View.Toolbox
Undo|Edit.Undo
Remove Vertical Spacing|Format.RemoveVerticalSpacing
Decrease Vertical Spacing|Format.DecreaseVerticalSpacing
Increase Vertical Spacing|Format.IncreaseVerticalSpacing
Make Vertical Spacing Equal|Format.MakeVerticalSpacingEqual
Background Color|Format.BackgroundColor
Bold|Format.Bold
Foreground Color|Format.ForegroundColor
Italic|Format.Italic
Justify Center|Format.JustifyCenter
Justify|Format.Justify
Justify Left|Format.JustifyLeft
Justify Right|Format.JustifyRight
Underline|Format.Underline
Find|Edit.Find
New Table|DatabaseDiagram.NewTable
Verify S Q L Syntax|QueryDesigner.VerifySQLSyntax
Set Primary Key|TableDesigner.SetPrimaryKey
Sort Ascending|QueryDesigner.SortAscending
Sort Descending|QueryDesigner.SortDescending
Insert Results|QueryDesigner.InsertResults
Make Table|QueryDesigner.MakeTable
Select|QueryDesigner.Select
Update|QueryDesigner.Update
Add Group By|QueryDesigner.AddGroupBy
Name Only|TableDesigner.NameOnly
Column Names|TableDesigner.ColumnNames
Keys|TableDesigner.Keys
Standard|TableDesigner.Standard
S Q L|QueryDesigner.SQL
Diagram|QueryDesigner.Diagram
Results|QueryDesigner.Results
Criteria|QueryDesigner.Criteria
Select All Columns|OtherContextMenus.QueryDiagramTable.SelectAllColumns
Rename|File.Rename
Remove Filter|QueryDesigner.RemoveFilter
Remove|Edit.Remove
Select All Rows From Table A|QueryDesigner.SelectAllRowsFromTableA
Select All Rows From Table B|QueryDesigner.SelectAllRowsFromTableB
Addto Select|QueryDesigner.AddtoSelect
Generate Change Script|TableDesigner.GenerateChangeScript
Save Selection|File.SaveSelection
Stop Debugging|Debug.StopDebugging
Break All|Debug.BreakAll
Refresh|View.Refresh
Open With|View.OpenWith
Execute S Q L|QueryDesigner.ExecuteSQL
Clear Results|QueryDesigner.ClearResults
Goto Row|QueryDesigner.GotoRow
Insert New|Edit.InsertNew
Insert Separator|Edit.InsertSeparator
Edit Names|Edit.EditNames
Attachto Process|Debug.AttachtoProcess
Threads|Debug.Threads
New Project|File.NewProject
Open Project|File.OpenProject
Close Solution|File.CloseSolution
Add New Item|Project.AddNewItem
New File|File.NewFile
Open File|File.OpenFile
Close|File.Close
Save All|File.SaveAll
Save Selected Items As|File.SaveSelectedItemsAs
Save As|File.SaveSelectedItemsAs
Page Setup|File.PageSetup
Print Preview|File.PrintPreview
Exit|File.Exit
Replace|Edit.Replace
Go To|Edit.GoTo
Property Pages|View.PropertyPages
Full Screen|View.FullScreen
Solution Explorer|View.SolutionExplorer
Properties Window|View.PropertiesWindow
Task List|View.TaskList
Output|View.Output
Object Browser|View.ObjectBrowser
Document Outline|View.DocumentOutline
Immediate|Debug.Immediate
Locals|Debug.Locals
Call Stack|Debug.CallStack
Add Existing Item|Project.AddExistingItem
New Folder|Project.NewFolder
Setas Start Up Project|Project.SetasStartUpProject
Step Into|Debug.StepInto
Step Over|Debug.StepOver
Step Out|Debug.StepOut
Run To Cursor|Debug.RunToCursor
Add Watch|Debug.AddWatch
Quick Watch|Debug.QuickWatch
Toggle Breakpoint|Debug.ToggleBreakpoint
Delete All Breakpoints|Debug.DeleteAllBreakpoints
Set Next Statement|Debug.SetNextStatement
Show Next Statement|Debug.ShowNextStatement
Open|View.Open
Detach All|Debug.DetachAll
Customize Keyboard|Tools.CustomizeKeyboard
Options|Tools.Options
New Window|Window.NewWindow
Split|Window.Split
Cascade|Window.Cascade
New Horizontal Tab Group|Window.NewHorizontalTabGroup
New Vertical Tab Group|Window.NewVerticalTabGroup
Technical Support|Help.TechnicalSupport
About|Help.About
Delete Watch|DebuggerContextMenus.AutosWindow.DeleteWatch
Collapse Parent|DebuggerContextMenus.AutosWindow.CollapseParent
Findin Files|Edit.FindinFiles
Replacein Files|Edit.ReplaceinFiles
Go To Next Location|Edit.GoToNextLocation
Go To Prev Location|Edit.GoToPrevLocation
Dock|Window.Dock
Hide|Window.Hide
Next Tab|Window.NextTab
Previous Tab|Window.PreviousTab
Close Tool Window|Window.CloseToolWindow
Activate Document Window|Window.ActivateDocumentWindow
Dockas Tabbed Document|Window.DockasTabbedDocument
